"filename", "language", "YAML", "Dart", "Markdown", "C++", "Groovy", "Swift", "XML", "JSON", "Properties", "HTML", "comment", "blank", "total"
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\item_info_screen.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\landing_screen\landing_screen.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 12
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\logging_food\food_search_list.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\logging_food\food_tile.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\logging_food\logging_food_screen.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 23, 5, 128
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\navdrawer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recipe\input_new_recipe.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 11
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recipe\new_recipe_search.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recipe\recipe_ingredient_tile.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recipe\recipe_item_info.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recommendations\recommendationTile.dart", "Dart", 0, -113, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -119
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recommendations\recommendation_tile.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 103
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\recommendations\recommendations.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\gender_dialog.dart", "Dart", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\information_dialogs.dart", "Dart", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 100
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\personal_tab.dart", "Dart", 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 320
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\settings_form.dart", "Dart", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 98
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\therapy_dialog.dart", "Dart", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 103
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings\therapy_tab.dart", "Dart", 0, 333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 337
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\settings_form.dart", "Dart", 0, -1111, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11, -1123
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\signin\signin.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\signup\signup1.dart", "Dart", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\signup\signup2.dart", "Dart", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 64
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\signup\signup3.dart", "Dart", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\screens\wrapper.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\auth.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, -10
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\database.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\foodStats.dart", "Dart", 0, -89, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12, -102
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\food_stats_service.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 157
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\recipe_database.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\search_service.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\lib\services\therapy_database.dart", "Dart", 0, -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -12
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\pubspec.yaml", "YAML", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 20, 103
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 17, 6, 102
"c:\Users\moham\Documents\EECE-502-Final-Year-Project\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"Total", "-", 40, 409, 13, 1, 95, 12, 126, 227, 9, 79, 175, 132, 1318
